Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Biological soil crust community site]	Term Source REF	Term Accession Number	Factor Value[Biological species]	Term Source REF	Term Accession Number
A.gracilis.SWE.1.autoMSMS.pos_P1.B.1_1_7058	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.gracilis.SWE.1.autoMSMS.pos_P1.B.1_1_7058	A.gracilis.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	58.030607002, 16.455699317	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620
A.gracilis.SWE.2.autoMSMS.pos_P1.B.2_1_7059	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.gracilis.SWE.2.autoMSMS.pos_P1.B.2_1_7059	A.gracilis.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	58.030607002, 16.455699317	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620
A.gracilis.SWE.3.autoMSMS.pos_P1.B.3_1_7060	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.gracilis.SWE.3.autoMSMS.pos_P1.B.3_1_7060	A.gracilis.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	58.030607002, 16.455699317	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620
R.gothica.GOT.1.autoMSMS.pos_P1.C.4_1_7127	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3108177	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gothica.GOT.1.autoMSMS.pos_P1.C.4_1_7127	R.gothica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.820616523, 16.571632151	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3108177
R.gothica.GOT.2.autoMSMS.pos_P1.C.5_1_7128	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3108177	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gothica.GOT.2.autoMSMS.pos_P1.C.5_1_7128	R.gothica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.820616523, 16.571632151	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3108177
R.gothica.GOT.3.autoMSMS.pos_P1.C.6_1_7129	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3108177	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gothica.GOT.3.autoMSMS.pos_P1.C.6_1_7129	R.gothica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.820616523, 16.571632151	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3108177
M.fragrans.GOT.1.autoMSMS.pos_P1.A.1_1_7049	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	M.fragrans.GOT.1.autoMSMS.pos_P1.A.1_1_7049	M.fragrans.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045
M.fragrans.GOT.2.autoMSMS.pos_P1.A.2_1_7050	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	M.fragrans.GOT.2.autoMSMS.pos_P1.A.2_1_7050	M.fragrans.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045
M.fragrans.GOT.3.autoMSMS.pos_P1.A.3_1_7051	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	M.fragrans.GOT.3.autoMSMS.pos_P1.A.3_1_7051	M.fragrans.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045
R.hemisphaerica.GOT.1.autoMSMS.pos_P1.A.4_1_7052	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.hemisphaerica.GOT.1.autoMSMS.pos_P1.A.4_1_7052	R.hemisphaerica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395
R.hemisphaerica.GOT.2.autoMSMS.pos_P1.A.5_1_7053	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.hemisphaerica.GOT.2.autoMSMS.pos_P1.A.5_1_7053	R.hemisphaerica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395
R.hemisphaerica.GOT.3.autoMSMS.pos_P1.A.6_1_7054	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.hemisphaerica.GOT.3.autoMSMS.pos_P1.A.6_1_7054	R.hemisphaerica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395
A.hyalina.GOT.1.autoMSMS.pos_P1.A.7_1_7055	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.hyalina.GOT.1.autoMSMS.pos_P1.A.7_1_7055	A.hyalina.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615
A.hyalina.GOT.2.autoMSMS.pos_P1.A.8_1_7056	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.hyalina.GOT.2.autoMSMS.pos_P1.A.8_1_7056	A.hyalina.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615
A.hyalina.GOT.3.autoMSMS.pos_P1.A.9_1_7057	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.hyalina.GOT.3.autoMSMS.pos_P1.A.9_1_7057	A.hyalina.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615
