Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Biological soil crust community site]	Term Source REF	Term Accession Number	Factor Value[Biological species]	Term Source REF	Term Accession Number
R.subbifurca.OE2.1.autoMSMS.neg_P1.E.1_1_7203	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE2.1.autoMSMS.neg_P1.E.1_1_7203	R.subbifurca.OE2	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.subbifurca.OE2.2.autoMSMS.neg_P1.E.2_1_7204	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE2.2.autoMSMS.neg_P1.E.2_1_7204	R.subbifurca.OE2	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.subbifurca.OE2.3.autoMSMS.neg_P1.E.3_1_7205	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE2.3.autoMSMS.neg_P1.E.3_1_7205	R.subbifurca.OE2	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.ciliifera.HAL.1.autoMSMS.neg_P1.E.7_1_7209	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.HAL.1.autoMSMS.neg_P1.E.7_1_7209	R.ciliifera.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.ciliifera.HAL.2.autoMSMS.neg_P1.E.8_1_7210	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.HAL.2.autoMSMS.neg_P1.E.8_1_7210	R.ciliifera.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.ciliifera.HAL.3.autoMSMS.neg_P1.E.9_1_7211	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.HAL.3.autoMSMS.neg_P1.E.9_1_7211	R.ciliifera.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.gougetiana.HAL.1.autoMSMS.neg_P1.F.1_1_7212	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gougetiana.HAL.1.autoMSMS.neg_P1.F.1_1_7212	R.gougetiana.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638
R.gougetiana.HAL.2.autoMSMS.neg_P1.F.2_1_7213	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gougetiana.HAL.2.autoMSMS.neg_P1.F.2_1_7213	R.gougetiana.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638
R.gougetiana.HAL.3.autoMSMS.neg_P1.F.3_1_7214	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gougetiana.HAL.3.autoMSMS.neg_P1.F.3_1_7214	R.gougetiana.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638
R.huebeneriana.GOT.1.autoMSMS.neg_P1.C.1_1_7185	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.huebeneriana.GOT.1.autoMSMS.neg_P1.C.1_1_7185	R.huebeneriana.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.361714341, 13.850084042	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639
R.huebeneriana.GOT.2.autoMSMS.neg_P1.C.2_1_7186	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.huebeneriana.GOT.2.autoMSMS.neg_P1.C.2_1_7186	R.huebeneriana.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.361714341, 13.850084042	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639
R.huebeneriana.GOT.3.autoMSMS.neg_P1.C.3_1_7187	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.huebeneriana.GOT.3.autoMSMS.neg_P1.C.3_1_7187	R.huebeneriana.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.361714341, 13.850084042	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639
A.gracilis.SWE.1.autoMSMS.neg_P1.B.1_1_7176	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.gracilis.SWE.1.autoMSMS.neg_P1.B.1_1_7176	A.gracilis.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	58.030607002, 16.455699317	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620
A.gracilis.SWE.2.autoMSMS.neg_P1.B.2_1_7177	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.gracilis.SWE.2.autoMSMS.neg_P1.B.2_1_7177	A.gracilis.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	58.030607002, 16.455699317	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620
A.gracilis.SWE.3.autoMSMS.neg_P1.B.3_1_7178	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.gracilis.SWE.3.autoMSMS.neg_P1.B.3_1_7178	A.gracilis.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	58.030607002, 16.455699317	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Asterella gracilis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122620
R.gothica.GOT.1.autoMSMS.neg_P1.C.4_1_7188	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3108177	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gothica.GOT.1.autoMSMS.neg_P1.C.4_1_7188	R.gothica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.820616523, 16.571632151	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3108177
R.gothica.GOT.2.autoMSMS.neg_P1.C.5_1_7189	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3108177	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gothica.GOT.2.autoMSMS.neg_P1.C.5_1_7189	R.gothica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.820616523, 16.571632151	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_3108177
R.gothica.GOT.3.autoMSMS.neg_P1.C.6_1_7190	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gothica.GOT.3.autoMSMS.neg_P1.C.6_1_7190	R.gothica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.820616523, 16.571632151	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gothica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045
M.fragrans.GOT.1.autoMSMS.neg_P1.A.1_1_7159	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	M.fragrans.GOT.1.autoMSMS.neg_P1.A.1_1_7159	M.fragrans.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045
