Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Characteristics[Nr]	Term Source REF	Term Accession Number	Factor Value[Species]	Term Source REF	Term Accession Number	Factor Value[Tissue]	Term Source REF	Term Accession Number	Factor Value[Harvest Date]	Term Source REF	Term Accession Number	Factor Value[Plot]	Term Source REF	Term Accession Number	Factor Value[Diversity]	Unit	Term Source REF	Term Accession Number	Factor Value[Local Diversity]	Unit	Term Source REF	Term Accession Number
Cgla_Q24_0205	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L8_Cgla_Q24_0205	_008			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	03.04.19			Q24			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_U13_1102	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R8_Cgla_U13_1102	_008			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_Q24_0710	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				exudate			Sample collection	E9_Cgla_Q24_0710	_009			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	exudate			03.04.19			Q24			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_Q24_0710	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L9_Cgla_Q24_0710	_009			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	03.04.19			Q24			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_Q24_0710	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R9_Cgla_Q24_0710	_009			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	03.04.19			Q24			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
QC_exudates	pooled quality control						-			Sample collection	QC_exudates	_00C						exudate										count unit	UO	http://purl.obolibrary.org/obo/UO_0000189		count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
QC_leaves1ul	pooled quality control						-			Sample collection	QC_leaves	_00C						leaf	PO	http://purl.obolibrary.org/obo/PO_0025034								count unit	UO	http://purl.obolibrary.org/obo/UO_0000189		count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
QC_roots	pooled quality control						-			Sample collection	QC_roots	_00C						root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1								count unit	UO	http://purl.obolibrary.org/obo/UO_0000189		count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_U13_0401	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				exudate			Sample collection	E10_Ccam_U13_0401	_010			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	exudate			03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_U13_0401	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L10_Ccam_U13_0401	_010			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_U13_0401	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R10_Ccam_U13_0401	_010			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_U13_1102	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				exudate			Sample collection	E11_Ccam_U13_1102	_011			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	exudate			03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_U13_1102	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L11_Ccam_U13_1102	_011			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_U13_1102	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R11_Ccam_U13_1102	_011			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_U13_0804	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				exudate			Sample collection	E12_Ccam_U13_0804	_012			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	exudate			03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_U13_0804	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L12_Ccam_U13_0804	_012			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_U13_0804	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R12_Ccam_U13_0804	_012			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0517	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				exudate			Sample collection	E13_Cgla_P8_0517	_013			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0517	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L13_Cgla_P8_0517	_013			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0517	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R13_Cgla_P8_0517	_013			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_0204	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E14_Ssup_P8_0204	_014			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0204	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L14_Cgla_P8_0204	_014			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
